         17004346 function calls (16945508 primitive calls) in 13.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2589    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
  722/718    0.002    0.000    0.162    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     4365    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
      286    0.002    0.000    0.008    0.000 overrides.py:72(verify_matching_signatures)
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
     1833    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     2450    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     2291    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
     4583    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     1222    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     2327    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     1591    0.001    0.000    0.006    0.000 re.py:170(match)
     2499    0.001    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
      512    0.001    0.000    0.004    0.000 enum.py:70(__setitem__)
     4583    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
1107/1027    0.001    0.000    0.024    0.000 typing.py:248(inner)
     2291    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
       12    0.001    0.000    0.003    0.000 artist.py:1261(<listcomp>)
      411    0.001    0.000    0.004    0.000 copy.py:66(copy)
      783    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       12    0.001    0.000    0.036    0.003 artist.py:1250(get_aliases)
      717    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      727    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     3035    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     1054    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
 1285/893    0.001    0.000    0.002    0.000 typing.py:664(__hash__)
      708    0.001    0.000    0.003    0.000 inspect.py:484(unwrap)
      211    0.001    0.000    0.070    0.000 sre_compile.py:759(compile)
      316    0.001    0.000    0.031    0.000 overrides.py:166(decorator)
      783    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      211    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
      616    0.001    0.000    0.005    0.000 _inspect.py:98(getargspec)
      273    0.001    0.000    0.006    0.000 function_base.py:460(add_newdoc)
       37    0.001    0.000    0.002    0.000 enum.py:177(<setcomp>)
        1    0.001    0.001    0.001    0.001 {method 'drivers' of 'fiona._env.GDALEnv' objects}
     1614    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     3018    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      611    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      719    0.001    0.000    0.009    0.000 colors.py:157(to_rgba)
     1328    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:403(cached)
      782    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
       79    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1216    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
     3036    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      383    0.001    0.000    0.001    0.000 __init__.py:381(__getitem__)
     1611    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
  260/182    0.001    0.000    0.012    0.000 typing.py:340(__getitem__)
     2876    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1815    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      611    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       27    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     1170    0.001    0.000    0.004    0.000 colors.py:123(_is_nth_color)
     2375    0.001    0.000    0.001    0.000 enum.py:526(__new__)
     1637    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      617    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      391    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
       72    0.001    0.000    0.031    0.000 __init__.py:1488(_preprocess_data)
2577/1986    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      453    0.001    0.000    0.008    0.000 rcsetup.py:327(validate_color)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      211    0.001    0.000    0.043    0.000 sre_parse.py:913(parse)
